Created          DealCid                                                      DealId  Provider  State                          On Chain?        Slashed?  PieceCID                                                          Size       Price               Duration  Message
Sep  1 23:22:52  bafyreieb7ybikpj62tt2xsceaskxnntxufmrlchcqdh4oari3ryyhuscjq  62263  t09833   StorageDealActive              Y (epoch 24867)  N  baga6ea4seaqgosw5rprq3xgez32wl3ueybliiegxxbjv5ieod7muf4ubbosmipi  7.938 MiB  0.000075307375 FIL  602459  
Sep  1 23:22:56  bafyreiake2bnzupdimlrfd2iowm2u6zaz33c6gcxluerysucnhglatuayq  0      t08178   StorageDealTransferring        N                N  baga6ea4seaqgalc7ngzna6rsryqfemszv73br7tblw2mwzzaxpodwmt5fniakba  7.938 MiB  0.000075286 FIL     602288  
Sep  1 23:22:59  bafyreiak6udahlpbwsxkbvonqymdbz7bpzx6kye635ehzw7iwluv6fdjmi  62271  t010538  StorageDealSealing             N                N  baga6ea4seaqir2awq7zesc2672iz2pd44nycpwr5wzjnxoyzwjus2vslqyhf6ly  7.938 MiB  0.0000753 FIL       602400  
Sep  1 23:23:11  bafyreia75b3qrilyknk6545gopzkxthrlfrhu6b4sd4o7u2lmaomnlsceu  0      t014233  StorageDealCheckForAcceptance  N                N  baga6ea4seaqkhdpuhugu5koqorr342txjxc6loyiwn5caovqhedkpy2qwplasay  7.938 MiB  0.00007520725 FIL   601658  
Sep  1 23:23:14  bafyreiawxevk2zlc6daeeqyvdk3g4qkcvl76enmvfexr7k2j2st4wjx2me  62235  t014803  StorageDealSealing             N                N  baga6ea4seaqlgenmh3ome2edpaloez64qkobzan7yfguky3h244fjilinx57sgi  7.938 MiB  0.000075407 FIL     603256  
Sep  1 23:23:17  bafyreicj7sve6uoejsnbulgl7mctjpr47wtwl5afxne3wqnnvwcvdftyoi  62236  t014640  StorageDealSealing             N                N  baga6ea4seaqlmji2l3v6je6lo63he7guqeumympawzotes77b34lvabrbu3jspq  7.938 MiB  0.000075320375 FIL  602563  
Sep  1 23:23:19  bafyreibqvvsgdtgerfvusj655yiwes3y7fn6effpjjohke7z4pmnrdnzvy  62237  t014207  StorageDealSealing             N                N  baga6ea4seaqdbva77avoa2nr4l5vuqdj22w6tf4ffiid46jjsprg3mpocgwjkgy  7.938 MiB  0.000075316625 FIL  602533  
Sep  1 23:23:44  bafyreicpewr36q743ldnbpe62yon3t264z2muyxv4tgivsatmvqnom4jd4  62275  t014764  StorageDealActive              Y (epoch 25641)  N  baga6ea4seaqmnj67evsrdl4ecjvi2wcr4hbvye4er43vlvudzahjdw7gusqlshy  7.938 MiB  0.000075343625 FIL  602749  
Sep  1 23:23:49  bafyreif2ibfgp6sd3pqpkwfcs6zzn4iyi73ldqs6iaxhosxlfjoyqf6jiy  0      t03225   StorageDealTransferring        N                N  baga6ea4seaqnovt443rtxllae7vjghqk5x4qrjzmyfgukhz73if7rfal7xon2mi  7.938 MiB  0.00007545025 FIL   603602  
Sep  1 23:23:54  bafyreiblijoq4umgmdvlpqi5zpobcznx5e4rxf5aqd6n7r5mxhv65q3pyu  0      t09707   StorageDealTransferring        N                N  baga6ea4seaqja2buwz7gnpc25rcjy2o23nwrik4acofmh2xhmajyyqrbsnpr6jy  7.938 MiB  0.00007516 FIL      601280  
