Created          DealCid                                                      DealId  Provider  State             On Chain?    Slashed?     PieceCID                                                          Size       Price               Duration  Message
Sep 18 05:38:09  bafyreicil57qcmahf27iu3w3g3gsqi6dyi44begmlkmn5aebioo5e5knp4  0       t08094   StorageDealError  N            N            baga6ea4seaqm5bg4y4wr7saianpjzozd464b546orjxyrc7eyjanxvampqsgcby  7.938 MiB  0.00007543025 FIL   603442  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:38:12  bafyreigo7fd4tcyu5um6rakhw657vacp5mkwmsvanvxks54jn2t4ibjma4  146797  t019824  StorageDealError  Y (epoch 0)  Y (epoch 0)  baga6ea4seaqmwvr7dgkdc6vlhrqgj5kop7osem4iu4bpb6b22h37cgwdgu6hqni  7.938 MiB  0.000075270375 FIL  602163  error in deal activation: failed to set up called handler: called check error (h: 79823): client: failed to look up deal on chain: deal 146797 not found
Sep 18 05:39:15  bafyreib7dxygsakx2fzo2holep6veekm2du3hour2jip6pnpexsetqct7i  146799  t019399  StorageDealError  Y (epoch 0)  Y (epoch 0)  baga6ea4seaqdqjdrmqfaa4bc7o4dabjqcg4m4kr5lvlrr4yaaqx3u6axl4pkoba  7.938 MiB  0.00007515375 FIL   601230  error in deal activation: failed to set up called handler: called check error (h: 79823): client: failed to look up deal on chain: deal 146799 not found
Sep 18 05:39:21  bafyreifrnbfa6tjjtjrqf4mvxsvqtv62z4x3jixmvnwoejggt4224lusei  0       t016563  StorageDealError  N            N            baga6ea4seaqbxaakjynijzi2pfec3kwn4yk5fzjic6yfhopla7j4dkxoqdhogay  7.938 MiB  0.00007546475 FIL   603718  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:39:26  bafyreifm2qussbbukmi6jygxg4pbqag2apzsd3gv4fftlr4mzr4q55i3ua  0       t020563  StorageDealError  N            N            baga6ea4seaqn7ghd257jgqvvsabvyinkt2o5vmc7zntwrpuwg5snd53cfv6t2iq  7.938 MiB  0.000075147125 FIL  601177  error reading Response message: stream reset
Sep 18 05:39:31  bafyreianorq2vh7kdvrzl6pfh3vxlelro3ztenbbzp72d5cydpus3kkbgu  0       t019437  StorageDealError  N            N            baga6ea4seaqgalc7ngzna6rsryqfemszv73br7tblw2mwzzaxpodwmt5fniakba  7.938 MiB  0.00007529075 FIL   602326  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:39:36  bafyreicf3lkipg6i7dt4gfltkurghqsotaw7otxhm4bpqi5zvxue4sppfa  0       t019723  StorageDealError  N            N            baga6ea4seaqir2awq7zesc2672iz2pd44nycpwr5wzjnxoyzwjus2vslqyhf6ly  7.938 MiB  0.00007545575 FIL   603646  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:39:41  bafyreideod43g5xbfftffxxspx535v6vbbuminkac5tzbei6crxvsqkv6i  0       t015747  StorageDealError  N            N            baga6ea4seaqlgenmh3ome2edpaloez64qkobzan7yfguky3h244fjilinx57sgi  7.938 MiB  0.000075353375 FIL  602827  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:39:46  bafyreiax43sckfspk4juynqfvzbyqxhvkprwyhqz55yaj4mefqqx5n6rfm  0       t017665  StorageDealError  N            N            baga6ea4seaqkhdpuhugu5koqorr342txjxc6loyiwn5caovqhedkpy2qwplasay  7.938 MiB  0.00007519175 FIL   601534  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:39:50  bafyreifs6gjfsidkvlyn7qou53jsg3o7czqscicqakwdctokdj2hgtajeq  0       t016303  StorageDealError  N            N            baga6ea4seaqmi6fhi3cylcelfkxmfld5zdzuu3xlj7uzfad5pdfdsizzejduqda  7.938 MiB  0.00007548225 FIL   603858  unexpected deal status while waiting for data request: 11 (StorageDealFailing). Provider message: deal rejected: Client Wallet:t3vp7m3244tjtxrvg4n2lfedtqnnnzhyno3ym6vnl4wzozztik4f2kvzfbfbgzcga7g3mckddw6x4ahp5n4iwa / PeerID:12D3KooWGSMixJZE6HMUcymXfGgHF8jyUvae8TBj8g5GxUyAjh2u not found in allow-list: open a PR against https://github.com/filecoin-project/slingshot/blob/master/allowlist.txt

Sep 18 05:40:44  bafyreigxak2yqzvp5j22h7cm4qsreaf75hel3d7oqhpsjuosusi6bdykeq  0       t015647  StorageDealError  N            N            baga6ea4seaqlmji2l3v6je6lo63he7guqeumympawzotes77b34lvabrbu3jspq  7.938 MiB  0.000075424 FIL     603392  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:40:50  bafyreigcgfgv7bqji4yltpqy25ohlbfmfldipog3pm7mp5k6wzqntkjbfa  0       t08854   StorageDealError  N            N            baga6ea4seaqgosw5rprq3xgez32wl3ueybliiegxxbjv5ieod7muf4ubbosmipi  7.938 MiB  0.00007529125 FIL   602330  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:40:56  bafyreibacbbp43osu455euj7jvllt7bayvo6waquofgqygttlqrahehfaq  0       t03344   StorageDealError  N            N            baga6ea4seaqdbva77avoa2nr4l5vuqdj22w6tf4ffiid46jjsprg3mpocgwjkgy  7.938 MiB  0.000075227375 FIL  601819  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:41:05  bafyreia6gwnvkujlotnaz2aaclsymrvcmpe2yme7ohfwcfb62hfyebmq6y  0       t09573   StorageDealError  N            N            baga6ea4seaqmnj67evsrdl4ecjvi2wcr4hbvye4er43vlvudzahjdw7gusqlshy  7.938 MiB  0.00007543825 FIL   603506  failed to initiate data transfer: deal data transfer failed: Response Rejected
Sep 18 05:41:09  bafyreidrtcdrfwixwuf4rh6aqjzu22dzrveluitqwcyn4hfxtyc6w2pvn4  146801  t010399  StorageDealError  Y (epoch 0)  Y (epoch 0)  baga6ea4seaqja2buwz7gnpc25rcjy2o23nwrik4acofmh2xhmajyyqrbsnpr6jy  7.938 MiB  0.000075447875 FIL  603583  error in deal activation: failed to set up called handler: called check error (h: 79823): client: failed to look up deal on chain: deal 146801 not found
Sep 18 05:41:13  bafyreifndwaoksvamxxyt5bosf7dpk2pokegggyiequxx37freaxtcdhqe  146800  t019422  StorageDealError  Y (epoch 0)  Y (epoch 0)  baga6ea4seaqnovt443rtxllae7vjghqk5x4qrjzmyfgukhz73if7rfal7xon2mi  7.938 MiB  0.000075143375 FIL  601147  error in deal activation: failed to set up called handler: called check error (h: 79823): client: failed to look up deal on chain: deal 146800 not found
