wiki.zip.aa
t01945-2342 t01581-2359 t01699-2367 t02014-2391
Retrieving t01945 2342 bafykbzaceantezfhi5gfy22imlfbb4gofn75vnu2lo3bzje4fddiyrph2d5ls
> Recv: 0 B, Paid 0 FIL, ClientEventOpen (DealStatusNew)
> Recv: 84.01 MiB, Paid 0.000000000163604084 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 85.01 MiB, Paid 0.000000000163604084 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 86.01 MiB, Paid 0.000000000163604084 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 87.01 MiB, Paid 0.000000000163604084 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 88.01 MiB, Paid 0.000000000163604084 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 89.01 MiB, Paid 0.000000000163604084 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 90.01 MiB, Paid 0.000000000163604084 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 90.01 MiB, Paid 0.000000000163604084 FIL, ClientEventPaymentRequested (DealStatusFundsNeeded)
> Recv: 91.01 MiB, Paid 0.000000000163604084 FIL, ClientEventBlocksReceived (DealStatusFundsNeeded)
> Recv: 91.01 MiB, Paid 0.000000000163604084 FIL, ClientEventSendFunds (DealStatusSendFunds)
> Recv: 91.01 MiB, Paid 0.00000000019086706 FIL, ClientEventPaymentSent (DealStatusOngoing)
> Recv: 92.01 MiB, Paid 0.00000000019086706 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 93.01 MiB, Paid 0.00000000019086706 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 94.01 MiB, Paid 0.00000000019086706 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 95.01 MiB, Paid 0.00000000019086706 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 96.01 MiB, Paid 0.00000000019086706 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 97.01 MiB, Paid 0.00000000019086706 FIL, ClientEventBlocksReceived (DealStatusOngoing)
> Recv: 98.01 MiB, Paid 0.00000000019086706 FIL, ClientEventBlocksReceived (DealStatusOngoing)
